"","variable","value.x","value.y","value"
"1","out-of sample MSE","0.498089","0.498089","0.500181"
"2","NAPM:ORD.lag1","0.080216","0.080216","0.080001"
"3","D.Cons:Svc.lag1","0.200934","0.200934","0.197708"
"4","D.FixedInv:Res.lag1","0.202217","0.202217","0.203384"
"5","D.Emp:SlackWk.lag1","-0.004495","-0.004495","-0.001663"
"6","D.Real_m2.lag1","0.012181","0.012181","0.010027"
"7","D.S&P 500.lag1","0.031812","0.031812","0.031942"
"8","D.ULC:Bus.lag2","-0.013929","-0.013929","-0.005683"
"9","D.Real_m2.lag2","0.011569","0.011569","0.01069"
"10","D.PCED_OtherServices.lag3",NA,NA,"-0.019697"
