"","variable","value.x","value.y","value"
"1","out-of sample MSE","0.741337","0.764168","0.762583"
"2","D.TB-3Mth.lag1","0.022845","0.02027","0.020959"
"3","D.TM-6MTH.lag1","0.00553","0.011923","0.011819"
"4","D.AAA Bond.lag1","0.001409",NA,NA
"5","Emp: DurGoods.lag1","0.091413","0.069952","0.066332"
"6","D.PCED.lag1","0.098581","0.054815","0.058384"
"7","D.BusSec Defl.lag1","0.070527","0.011256","0.010067"
"8","D.PCED_TransSvg.lag1","0.001335",NA,NA
"9","D.PCED_FoodServ_Acc..lag1","0.20232","0.194577","0.193346"
"10","D.CPI.lag1","0.17883",NA,NA
"11","D.PPI:FinGds.lag1","0.100141","0.120506","0.120208"
"12","Inflation.lag1",NA,"0.170097","0.166607"
"13","D.PPI:IntMat.lag1",NA,"0.011103","0.008796"
"14","Inflation.lag3",NA,"0.130365","0.122025"
"15","D.PCED_FoodServ_Acc..lag3",NA,NA,"0.010902"
"16","D.PPI:FinConsGds(Food).lag4",NA,NA,"0.004156"
