"","Series","Conclusion","Type","Lags","Series","Conclusion","Type","Lags"
"1","ypr","I(1)","trend","16","ypr","I(0)","trend","15"
"2","a0m051","I(0)","trend","14","a0m051","I(0)","drift","15"
"3","cons_r","I(0)","trend","9","cons_r","I(0)","drift","8"
"4","mtq","I(0)","trend","15","mtq","I(0)","drift","14"
"5","a0m059","I(1)","trend","11","a0m059","I(0)","drift","2"
"6","ips10","I(0)","trend","9","ips10","I(0)","drift","4"
"7","ips11","I(0)","trend","10","ips11","I(0)","drift","8"
"8","ips299","I(0)","trend","10","ips299","I(0)","drift","5"
"9","ips12","I(1)","trend","10","ips12","I(0)","drift","4"
"10","ips13","I(1)","trend","2","ips13","I(0)","drift","1"
"11","ips18","I(1)","trend","1","ips18","I(0)","trend","1"
"12","ips25","I(0)","trend","6","ips25","I(0)","drift","5"
"13","ips32","I(1)","trend","5","ips32","I(0)","drift","4"
"14","ips34","I(1)","trend","12","ips34","I(0)","drift","11"
"15","ips38","I(1)","trend","3","ips38","I(0)","trend","11"
"16","ips43","I(1)","trend","3","ips43","I(0)","drift","2"
"17","ips307","I(0)","trend","16","ips307","I(0)","drift","15"
"18","ips306","I(1)","trend","7","ips306","I(0)","drift","6"
"19","pmp","I(0)","trend","11","pmp","I(0)","drift","14"
"20","utl11","I(0)","trend","3","utl11","I(0)","drift","2"
"21","lhel","I(1)","trend","18","lhel","I(0)","trend","16"
"22","lhelx","I(0)","trend","9","lhelx","I(0)","drift","3"
"23","lhem","I(1)","trend","4","lhem","I(0)","trend","3"
"24","lhnag","I(1)","trend","3","lhnag","I(0)","trend","2"
"25","lhur","I(1)","drift","4","lhur","I(0)","drift","3"
"26","lhu680","I(0)","trend","7","lhu680","I(0)","drift","9"
"27","lhu5","I(1)","trend","12","lhu5","I(0)","drift","11"
"28","lhu14","I(1)","trend","9","lhu14","I(0)","drift","2"
"29","lhu15","I(1)","trend","6","lhu15","I(0)","drift","3"
"30","lhu26","I(1)","trend","4","lhu26","I(0)","drift","3"
"31","lhu27","I(0)","trend","7","lhu27","I(0)","drift","6"
"32","claimuii","I(1)","trend","1","claimuii","I(0)","drift","1"
"33","ces002","I(0)","trend","4","ces002","I(0)","trend","2"
"34","ces003","I(0)","trend","4","ces003","I(0)","trend","3"
"35","ces006","I(1)","trend","7","ces006","I(0)","drift","6"
"36","ces011","I(0)","trend","7","ces011","I(0)","drift","4"
"37","ces015","I(1)","trend","6","ces015","I(0)","trend","5"
"38","ces017","I(0)","trend","5","ces017","I(0)","trend","4"
"39","ces033","I(1)","trend","4","ces033","I(0)","trend","3"
"40","ces046","I(1)","trend","6","ces046","I(0)","trend","5"
"41","ces048","I(1)","trend","4","ces048","I(0)","trend","3"
"42","ces049","I(1)","trend","4","ces049","I(0)","trend","3"
"43","ces053","I(1)","trend","5","ces053","I(0)","trend","4"
"44","ces088","I(1)","trend","10","ces088","I(0)","trend","9"
"45","ces140","I(0)","trend","3","ces140","I(0)","trend","8"
"46","ces151","I(1)","trend","3","ces151","I(0)","drift","2"
"47","ces155","I(1)","trend","1","ces155","I(0)","drift","2"
"48","a0m001","I(1)","trend","2","a0m001","I(0)","drift","1"
"49","pmemp","I(0)","trend","13","pmemp","I(0)","drift","12"
"50","hsfr","I(0)","drift","16","hsfr","I(0)","drift","11"
"51","hsne","I(1)","trend","4","hsne","I(0)","drift","3"
"52","hsmw","I(1)","trend","3","hsmw","I(0)","drift","11"
"53","hssou","I(1)","trend","15","hssou","I(0)","drift","11"
"54","hswst","I(1)","trend","2","hswst","I(0)","drift","1"
"55","hsbr","I(1)","trend","3","hsbr","I(0)","drift","1"
"56","hsbne","I(1)","trend","2","hsbne","I(0)","drift","3"
"57","hsbmw","I(1)","drift","14","hsbmw","I(0)","drift","12"
"58","hsbsou","I(1)","trend","12","hsbsou","I(0)","drift","12"
