"","Series","Conclusion","Type","Lags","Series","Conclusion","Type","Lags"
"1","ypr","I(1)","trend","1","ypr","I(0)","trend","1"
"2","a0m051","I(0)","trend","12","a0m051","I(0)","drift","13"
"3","cons_r","I(1)","trend","1","cons_r","I(0)","drift","1"
"4","mtq","I(1)","trend","3","mtq","I(0)","drift","2"
"5","a0m059","I(1)","trend","2","a0m059","I(0)","drift","1"
"6","ips10","I(1)","trend","3","ips10","I(0)","drift","2"
"7","ips11","I(0)","trend","3","ips11","I(0)","drift","2"
"8","ips299","I(0)","trend","3","ips299","I(0)","drift","2"
"9","ips12","I(1)","trend","1","ips12","I(0)","drift","1"
"10","ips13","I(1)","trend","1","ips13","I(0)","drift","1"
"11","ips18","I(1)","trend","1","ips18","I(0)","trend","1"
"12","ips25","I(1)","trend","3","ips25","I(0)","drift","2"
"13","ips32","I(1)","trend","1","ips32","I(0)","drift","2"
"14","ips34","I(1)","trend","1","ips34","I(0)","drift","2"
"15","ips38","I(1)","trend","2","ips38","I(0)","trend","1"
"16","ips43","I(1)","trend","3","ips43","I(0)","drift","2"
"17","ips307","I(0)","trend","5","ips307","I(0)","drift","4"
"18","ips306","I(1)","trend","2","ips306","I(0)","drift","1"
"19","pmp","I(0)","trend","1","pmp","I(0)","drift","1"
"20","utl11","I(0)","trend","3","utl11","I(0)","drift","2"
"21","lhel","I(1)","trend","13","lhel","I(0)","trend","12"
"22","lhelx","I(1)","trend","3","lhelx","I(0)","drift","2"
"23","lhem","I(1)","trend","3","lhem","I(0)","trend","2"
"24","lhnag","I(1)","trend","3","lhnag","I(0)","trend","2"
"25","lhur","I(1)","drift","4","lhur","I(0)","drift","3"
"26","lhu680","I(0)","trend","7","lhu680","I(0)","drift","6"
"27","lhu5","I(1)","trend","1","lhu5","I(0)","drift","1"
"28","lhu14","I(1)","trend","1","lhu14","I(0)","drift","1"
"29","lhu15","I(1)","trend","3","lhu15","I(0)","drift","2"
"30","lhu26","I(1)","trend","1","lhu26","I(0)","drift","2"
"31","lhu27","I(0)","trend","7","lhu27","I(0)","drift","6"
"32","claimuii","I(1)","trend","1","claimuii","I(0)","drift","1"
"33","ces002","I(1)","trend","3","ces002","I(0)","trend","2"
"34","ces003","I(0)","trend","3","ces003","I(0)","trend","2"
"35","ces006","I(1)","trend","1","ces006","I(0)","drift","1"
"36","ces011","I(1)","trend","5","ces011","I(0)","drift","4"
"37","ces015","I(1)","trend","3","ces015","I(0)","trend","2"
"38","ces017","I(0)","trend","4","ces017","I(0)","trend","2"
"39","ces033","I(1)","trend","2","ces033","I(0)","trend","1"
"40","ces046","I(1)","trend","4","ces046","I(0)","trend","3"
"41","ces048","I(1)","trend","4","ces048","I(0)","trend","3"
"42","ces049","I(1)","trend","3","ces049","I(0)","trend","2"
"43","ces053","I(1)","trend","3","ces053","I(0)","trend","2"
"44","ces088","I(1)","trend","3","ces088","I(0)","trend","2"
"45","ces140","I(0)","trend","2","ces140","I(0)","trend","1"
"46","ces151","I(1)","trend","2","ces151","I(0)","drift","1"
"47","ces155","I(1)","trend","1","ces155","I(0)","drift","1"
"48","a0m001","I(1)","trend","2","a0m001","I(0)","drift","1"
"49","pmemp","I(0)","trend","2","pmemp","I(0)","drift","1"
"50","hsfr","I(1)","drift","1","hsfr","I(0)","drift","1"
"51","hsne","I(1)","trend","4","hsne","I(0)","drift","3"
"52","hsmw","I(0)","trend","2","hsmw","I(0)","drift","2"
"53","hssou","I(1)","trend","1","hssou","I(0)","drift","1"
"54","hswst","I(1)","trend","2","hswst","I(0)","drift","1"
"55","hsbr","I(1)","trend","1","hsbr","I(0)","drift","1"
"56","hsbne","I(1)","trend","2","hsbne","I(0)","drift","1"
"57","hsbmw","I(0)","drift","1","hsbmw","I(0)","drift","1"
"58","hsbsou","I(1)","trend","1","hsbsou","I(0)","drift","1"
"59","hsbwst","I(1)","trend","1","hsbwst","I(0)","drift","1"
"60","pmi","I(0)","trend","2","pmi","I(0)","drift","1"
"61","pmno","I(0)","trend","1","pmno","I(0)","drift","1"
"62","pmdel","I(0)","trend","4","pmdel","I(0)","drift","1"
"63","pmnv","I(0)","trend","1","pmnv","I(0)","drift","1"
"64","a1m008","I(1)","trend","1","a1m008","I(0)","drift","1"
"65","a0m007","I(1)","trend","3","a0m007","I(0)","drift","2"
"66","a0m027","I(1)","trend","2","a0m027","I(0)","drift","1"
"67","a1m092","I(0)","trend","6","a1m092","I(0)","trend","2"
"68","a0m070","I(0)","trend","3","a0m070","I(0)","trend","2"
"69","a0m077","I(0)","trend","3","a0m077","I(0)","drift","2"
"70","fm1","I(1)","trend","6","fm1","I(0)","trend","5"
"71","fm2","I(1)","trend","1","fm2","I(0)","trend","2"
"72","fmscu","I(1)","trend","5","fmscu","I(0)","drift","4"
"73","fm2_r","I(1)","trend","3","fm2_r","I(0)","drift","2"
"74","fmfba","I(1)","trend","2","fmfba","I(0)","drift","1"
"75","fmrra","I(1)","trend","2","fmrra","I(0)","drift","1"
"76","fmrnba","I(1)","trend","1","fmrnba","I(0)","drift","1"
"77","fclnbw","I(1)","trend","3","fclnbw","I(0)","trend","2"
"78","fclbmc","I(0)","drift","6","fclbmc","I(0)","drift","2"
"79","ccinrv","I(1)","trend","4","ccinrv","I(0)","drift","3"
"80","ccipy","I(1)","trend","4","ccipy","I(0)","trend","3"
"81","fspcom","I(1)","trend","1","fspcom","I(0)","drift","1"
