"","variable","value.x","value.y","value"
"1","out-of sample MSE","0.451161","0.38845","0.452303"
"2","hsmw.lag1","-0.100668",NA,NA
"3","hsbsou.lag1","0.167816","0.072091",NA
"4","fclbmc.lag1","0.0158",NA,NA
"5","D.ces140.lag1","-0.035264","-0.052214","-0.057281"
"6","hsmw.lag2","-0.04509",NA,NA
"7","hsbsou.lag2","0.008284",NA,NA
"8","D.ces140.lag2","-0.005485","-0.026135","-0.02702"
"9","hsbsou.lag3","0.025499",NA,NA
"10","D.a1m092.lag4","0.0031",NA,NA
"11","lhel.lag1",NA,"0.075378","0.15263"
"12","hsbwst.lag1",NA,"-0.00105",NA
"13","lhel.lag2",NA,"0.037951","0.088486"
"14","hsbwst.lag2",NA,"-0.010196",NA
"15","lhel.lag3",NA,"0.008731",NA
"16","hsbwst.lag3",NA,"-5.3e-05",NA
"17","D.ces140.lag3",NA,"-0.002537","-0.000687"
"18","lhel.lag4",NA,"0.025229",NA
"19","ces011.lag4",NA,"0.087154",NA
"20","hsbwst.lag4",NA,"-0.001456",NA
"21","hsbmw.lag1",NA,NA,"-0.066826"
