"","I1","","NG","AIC","BIC"
"1","AIC, BIC","hsmw.lag1",-0.011424,-0.030694,-0.031128
"2","BIC","hsbsou.lag1",0.075765,0.073372,0.073366
"3","","D.ces140.lag1",-0.000777,-0.001991,-0.001857
"4","AIC, BIC","hsmw.lag2",-0.029434,NA,NA
"5","NG","lhel.lag1",0.095698,0.068986,0.086237
"6","NG, BIC","ces003.lag1",0.014726,NA,0.017683
"7","ALL","fygt1.lag1",0.071564,0.069291,0.077004
"8","ALL","exrjan.lag1",-0.042133,-0.037773,-0.042529
"9","ALL","exrcan.lag1",0.107132,0.114598,0.113573
"10","NG","lhel.lag2",NA,0.006586,3.3e-05
"11","NG, BIC","ces003.lag4",NA,0.037957,NA
