"","variable","value.x","value.y","value"
"1",NA,NA,NA,NA
"2","LASSO 1","yr2","yr2","yr2"
"3","pmcp.lag1","-0.031328","-0.031328","-0.031328"
"4","yr.lag1","0.771704","0.771704","0.771704"
"5","LASSO 2","yr2","yr2","yr2"
"6","yr.lag1","0.771086","0.771086","0.771086"
"7","pmcp.lag1","-0.028752","-0.028752","-0.028752"
"8","D.fygt5.lag12","0.002546","0.002546","0.002546"
"9","LASSO 3","yr2","yr2","yr2"
"10","pmcp.lag1","-0.028828","-0.028828","-0.028828"
"11","D.fygt5.lag12","0.002526","0.002526","0.002526"
"12","yr.lag1","0.771056","0.771056","0.771056"
"13","LASSO 1","yr3","yr3","yr3"
"14","pmcp.lag1","-0.011266","-0.011266","-0.011266"
"15","yr.lag1","0.786125","0.786125","0.786125"
"16","LASSO 2","yr3","yr3","yr3"
"17","yr.lag1","0.784767","0.784767","0.784767"
"18","pmcp.lag1","-0.009631","-0.009631","-0.009631"
"19","LASSO 3","yr3","yr3","yr3"
"20","pmcp.lag1","-0.009718","-0.009718","-0.009718"
"21","yr.lag1","0.784686","0.784686","0.784686"
"22","LASSO 1","yr4","yr4","yr4"
"23","pmcp.lag1","-0.006869","-0.006869","-0.006869"
"24","yr.lag1","0.790352","0.790352","0.790352"
"25","LASSO 2","yr4","yr4","yr4"
"26","yr.lag1","0.788991","0.788991","0.788991"
"27","pmcp.lag1","-0.005306","-0.005306","-0.005306"
"28","LASSO 3","yr4","yr4","yr4"
"29","pmcp.lag1","-0.005385","-0.005385","-0.005385"
"30","yr.lag1","0.788917","0.788917","0.788917"
"31","LASSO 1","yr5","yr5","yr5"
"32","pmcp.lag1","-0.008214","-0.008214","-0.008214"
"33","yr.lag1","0.779706","0.779706","0.779706"
"34","LASSO 2","yr5","yr5","yr5"
"35","yr.lag1","0.780842","0.780842","0.780842"
"36","pmcp.lag1","-0.005807","-0.005807","-0.005807"
"37","D.fygt10.lag12","0.008133","0.008133","0.008133"
"38","LASSO 3","yr5","yr5","yr5"
"39","pmcp.lag1","-0.005892","-0.005892","-0.005892"
"40","D.fygt10.lag12","0.008105","0.008105","0.008105"
"41","yr.lag1","0.780752","0.780752","0.780752"
